Ticker,published_utc,published_local,title,publisher,link,type
CDTX,2026-01-02 08:29:22+00:00,2026-01-02 03:29 ET,Cidara Therapeutics (CDTX) Rockets 722% in 2025 on Merck $9.2-Billion Merger,,,STORY
CDTX,2026-01-02 07:04:44+00:00,2026-01-02 02:04 ET,Is Cidara Therapeutics a Buy After HighVista Strategies Initiated a Position in the Stock?,,,STORY
CDTX,2025-12-18 06:09:46+00:00,2025-12-18 01:09 ET,Cidara Therapeutics (CDTX): Assessing Valuation After a 200% Three‑Month Share Price Surge,,,STORY
CDTX,2025-12-15 16:14:05+00:00,2025-12-15 11:14 ET,"Merck Poised for Mid-Single-Digit Revenue Growth in Fiscal 2026, BofA Says",,,STORY
CDTX,2025-12-04 16:10:00+00:00,2025-12-04 11:10 ET,The Biotech Industry Is Healthier Than Investors Think. These Are the Stocks to Watch.,,,STORY
CDTX,2025-11-30 05:16:00+00:00,2025-11-30 00:16 ET,"3 Non-AI Stocks to Buy: MRK, UPS, CVX",,,STORY
CDTX,2025-11-25 12:11:23+00:00,2025-11-25 07:11 ET,Cidara Therapeutics (CDTX): Assessing Valuation After a 137% One-Month Surge,,,STORY
CDTX,2025-11-23 12:01:58+00:00,2025-11-23 07:01 ET,Analysts Shift to Hold as Cidara’s (CDTX) Recent Acquisition Deal Caps Upside,,,STORY
CDTX,2025-11-20 14:48:38+00:00,2025-11-20 09:48 ET,Institutional Titan Hits the Jackpot: Biotech Stock Surges by 116% on Buyout Offer,,,STORY
CDTX,2025-11-20 14:45:00+00:00,2025-11-20 09:45 ET,Merck Is Buying Cidara Therapeutics for $9.2 Billion. Is This the Boost the Lagging Drugmaker Needs?,,,STORY
PARR,2026-01-11 07:11:52+00:00,2026-01-11 02:11 ET,A Look At Par Pacific Holdings (PARR) Valuation After Recent Share Price Moves,,,STORY
PARR,2026-01-08 14:48:00+00:00,2026-01-08 09:48 ET,How Valero's Operational Flexibility Drives Profitability,,,STORY
PARR,2026-01-07 17:02:00+00:00,2026-01-07 12:02 ET,PSX Expands UK Footprint With Lindsey Refinery Asset Purchase,,,STORY
PARR,2026-01-06 14:11:00+00:00,2026-01-06 09:11 ET,Phillips 66 (PSX) Moves 7.2% Higher: Will This Strength Last?,,,STORY
PARR,2026-01-06 12:07:00+00:00,2026-01-06 07:07 ET,Has Phillips 66 Stock Run Ahead of its Underlying Fundamentals?,,,STORY
PARR,2026-01-06 09:09:48+00:00,2026-01-06 04:09 ET,Is Par Pacific Holdings (PARR) Still Attractive After A 120% One-Year Share Price Surge?,,,STORY
PARR,2026-01-05 12:23:00+00:00,2026-01-05 07:23 ET,Is Valero Energy Stock Too Expensive for Investors at Current Levels?,,,STORY
PARR,2026-01-02 12:13:00+00:00,2026-01-02 07:13 ET,Will the Oil Price Environment Aid PSX's Refining Operations?,,,STORY
PARR,2026-01-02 12:11:00+00:00,2026-01-02 07:11 ET,Is the Current Oil Price Favorable for VLO's Refining Operations?,,,STORY
PARR,2025-12-31 10:18:49+00:00,2025-12-31 05:18 ET,Par Pacific Holdings (PARR) Reveals CapEx Guidance for FY 2026,,,STORY
TWST,2026-01-11 00:18:20+00:00,2026-01-10 19:18 ET,Twist Bioscience (TWST) Valuation Check After TD Cowen Buy Rating And Raised Outlook,,,STORY
TWST,2025-12-31 11:26:41+00:00,2025-12-31 06:26 ET,"Cathie Wood Doubles Down on Biotech as 2025 Ends, Offloads Rocket Lab",,,STORY
TWST,2025-12-31 04:48:39+00:00,2025-12-30 23:48 ET,Barclays Keeps Its Overweight Rating On Twist Bioscience Corporation (TWST),,,STORY
TWST,2025-12-29 17:51:00+00:00,2025-12-29 12:51 ET,TSLA: Cathie Wood Dumps $30 Million Worth Tesla Stock,,,STORY
TWST,2025-12-23 03:20:19+00:00,2025-12-22 22:20 ET,New Product Launch Strengthens Bull Case for Twist Bioscience ( TWST),,,STORY
TWST,2025-12-05 00:14:58+00:00,2025-12-04 19:14 ET,Twist Bioscience (TWST): Valuation Check After New Research-Grade Plasmid DNA Preps Boost Investor Interest,,,STORY
TWST,2025-12-04 21:09:18+00:00,2025-12-04 16:09 ET,How Twist’s New Preclinical-Grade Plasmid DNA Preps Could Reshape the TWST Nucleic Acid Therapeutics Story,,,STORY
TWST,2025-11-18 14:40:00+00:00,2025-11-18 09:40 ET,"Company News for Nov 18, 2025",,,STORY
TWST,2025-11-18 09:45:22+00:00,2025-11-18 04:45 ET,"Stephens Initiates Twist Bioscience (TWST) With Overweight Rating, Sets $41 PT",,,STORY
TWST,2025-11-17 15:13:04+00:00,2025-11-17 10:13 ET,Is Twist Bioscience Corporation (TWST) a Compelling Risk-Regarded Opportunity?,,,STORY
