ticker,name,exchange,sector,technical_score,technical_evidence,current_price,market_cap_usd,avg_dollar_volume_20d,asof_price_utc
PARR,"Par Pacific Holdings, Inc.",NYSE,Energy,10.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 4.4, 'resistance_level': None, 'volume_ratio_3d_to_20d': 1.7, 'rsi14': 63.0, 'above_ma10_ma20_ma50': True, 'ma10': 42.42, 'ma20': 41.24, 'ma50': 37.69, 'realized_vol_5d_ann_pct': 78.91}",46.27000045776367,1875062016,57224490.988292694,2025-11-18T00:00:00Z
ABBV,AbbVie Inc.,NYSE,Healthcare,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 4.47, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.97, 'rsi14': 59.86, 'above_ma10_ma20_ma50': True, 'ma10': 226.46, 'ma20': 225.22, 'ma50': 225.77, 'realized_vol_5d_ann_pct': 25.72}",233.8699951171875,388895277056,1287155663.590088,2025-11-18T00:00:00Z
BG,Bunge Global SA,NYSE,Consumer Defensive,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 3.43, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.91, 'rsi14': 50.16, 'above_ma10_ma20_ma50': True, 'ma10': 95.59, 'ma20': 95.62, 'ma50': 88.5, 'realized_vol_5d_ann_pct': 26.43}",96.13999938964844,19533332480,137515380.66616058,2025-11-18T00:00:00Z
CWAN,"Clearwater Analytics Holdings, Inc.",NYSE,Technology,8.0,"{'within_5pct_52w_high': False, 'dist_to_52w_high_pct': 34.91, 'resistance_level': None, 'volume_ratio_3d_to_20d': 1.61, 'rsi14': 64.89, 'above_ma10_ma20_ma50': True, 'ma10': 18.34, 'ma20': 18.45, 'ma50': 18.42, 'realized_vol_5d_ann_pct': 66.39}",20.829999923706055,7170272768,132953278.73898506,2025-11-18T00:00:00Z
ENS,EnerSys,NYSE,Industrials,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 4.17, 'resistance_level': None, 'volume_ratio_3d_to_20d': 1.03, 'rsi14': 69.68, 'above_ma10_ma20_ma50': True, 'ma10': 134.45, 'ma20': 128.69, 'ma50': 119.49, 'realized_vol_5d_ann_pct': 21.12}",135.1199951171875,6052033024,62159687.0533371,2025-11-18T00:00:00Z
NUVL,"Nuvalent, Inc.",NASDAQ,Healthcare,8.0,"{'within_5pct_52w_high': False, 'dist_to_52w_high_pct': 7.37, 'resistance_level': None, 'volume_ratio_3d_to_20d': 1.94, 'rsi14': 51.4, 'above_ma10_ma20_ma50': True, 'ma10': 97.09, 'ma20': 96.47, 'ma50': 89.11, 'realized_vol_5d_ann_pct': 96.85}",104.23999786376953,7700489728,64649297.576942444,2025-11-18T00:00:00Z
NEE,"NextEra Energy, Inc.",NYSE,Utilities,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 3.3, 'resistance_level': None, 'volume_ratio_3d_to_20d': 1.07, 'rsi14': 63.98, 'above_ma10_ma20_ma50': True, 'ma10': 84.27, 'ma20': 83.56, 'ma50': 80.11, 'realized_vol_5d_ann_pct': 26.64}",84.63999938964844,168941305856,813315356.4279175,2025-11-18T00:00:00Z
GILD,"Gilead Sciences, Inc.",NASDAQ,Healthcare,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 0.39, 'resistance_level': None, 'volume_ratio_3d_to_20d': 1.0, 'rsi14': 69.41, 'above_ma10_ma20_ma50': True, 'ma10': 123.04, 'ma20': 121.68, 'ma50': 117.84, 'realized_vol_5d_ann_pct': 20.34}",127.18000030517578,152122933248,836217465.1667404,2025-11-18T00:00:00Z
RL,Ralph Lauren Corporation,NYSE,Consumer Cyclical,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 4.29, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.78, 'rsi14': 50.45, 'above_ma10_ma20_ma50': True, 'ma10': 328.19, 'ma20': 327.46, 'ma50': 321.3, 'realized_vol_5d_ann_pct': 30.48}",328.260009765625,22027718656,205941193.9807129,2025-11-18T00:00:00Z
GOOG,Alphabet Inc.,NASDAQ,Communication Services,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 3.25, 'resistance_level': None, 'volume_ratio_3d_to_20d': 1.21, 'rsi14': 57.63, 'above_ma10_ma20_ma50': True, 'ma10': 284.62, 'ma20': 277.62, 'ma50': 259.76, 'realized_vol_5d_ann_pct': 35.37}",284.9599914550781,4016661331968,6311436301.713791,2025-11-18T00:00:00Z
