ticker,name,exchange,sector,technical_score,technical_evidence,current_price,market_cap_usd,avg_dollar_volume_20d,asof_price_utc
SATS,EchoStar Corporation,NASDAQ,Communication Services,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 2.41, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.38, 'rsi14': 59.21, 'above_ma10_ma20_ma50': True, 'ma10': 106.2, 'ma20': 99.88, 'ma50': 83.08, 'realized_vol_5d_ann_pct': 24.22}",108.69999694824219,31292155904,609306998.8300323,2025-12-31T00:00:00Z
MU,"Micron Technology, Inc.",NASDAQ,Technology,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 4.49, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.83, 'rsi14': 59.01, 'above_ma10_ma20_ma50': True, 'ma10': 273.67, 'ma20': 258.37, 'ma50': 240.0, 'realized_vol_5d_ann_pct': 43.51}",285.4100036621094,321231585280,6970779113.808517,2025-12-31T00:00:00Z
SPHR,Sphere Entertainment Co.,NYSE,Communication Services,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 2.18, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.69, 'rsi14': 68.21, 'above_ma10_ma20_ma50': True, 'ma10': 93.04, 'ma20': 89.65, 'ma50': 80.35, 'realized_vol_5d_ann_pct': 33.46}",95.08000183105469,3422824448,65489148.67324829,2025-12-31T00:00:00Z
TARS,"Tarsus Pharmaceuticals, Inc.",NASDAQ,Healthcare,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 3.95, 'resistance_level': None, 'volume_ratio_3d_to_20d': 1.52, 'rsi14': 52.46, 'above_ma10_ma20_ma50': True, 'ma10': 81.12, 'ma20': 81.08, 'ma50': 76.34, 'realized_vol_5d_ann_pct': 9.8}",81.87999725341797,3475732480,53904061.28883362,2025-12-31T00:00:00Z
CENX,Century Aluminum Company,NASDAQ,Basic Materials,6.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 4.04, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.77, 'rsi14': 81.19, 'above_ma10_ma20_ma50': True, 'ma10': 37.57, 'ma20': 34.36, 'ma50': 31.28, 'realized_vol_5d_ann_pct': 33.72}",39.18000030517578,3657138432,62205386.00564957,2025-12-31T00:00:00Z
CYTK,"Cytokinetics, Incorporated",NASDAQ,Healthcare,6.0,"{'within_5pct_52w_high': False, 'dist_to_52w_high_pct': 10.48, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.85, 'rsi14': 57.85, 'above_ma10_ma20_ma50': True, 'ma10': 62.76, 'ma20': 62.94, 'ma50': 63.0, 'realized_vol_5d_ann_pct': 37.42}",63.540000915527344,7768713728,132878590.38988113,2025-12-31T00:00:00Z
SNDK,Sandisk Corporation,NASDAQ,Technology,6.0,"{'within_5pct_52w_high': False, 'dist_to_52w_high_pct': 16.64, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.71, 'rsi14': 51.98, 'above_ma10_ma20_ma50': True, 'ma10': 237.18, 'ma20': 227.24, 'ma50': 219.71, 'realized_vol_5d_ann_pct': 27.63}",237.3800048828125,34788794368,1741716832.6982117,2025-12-31T00:00:00Z
SOC,Sable Offshore Corp.,NYSE,Energy,6.0,"{'within_5pct_52w_high': False, 'dist_to_52w_high_pct': 74.23, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.72, 'rsi14': 67.72, 'above_ma10_ma20_ma50': True, 'ma10': 8.42, 'ma20': 6.98, 'ma50': 7.23, 'realized_vol_5d_ann_pct': 108.91}",9.020000457763672,1307555456,91177229.94371891,2025-12-31T00:00:00Z
TE,T1 Energy Inc.,NYSE,Industrials,6.0,"{'within_5pct_52w_high': False, 'dist_to_52w_high_pct': 13.7, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.63, 'rsi14': 55.88, 'above_ma10_ma20_ma50': True, 'ma10': 6.57, 'ma20': 6.09, 'ma50': 4.65, 'realized_vol_5d_ann_pct': 54.2}",6.679999828338623,1418603520,124060040.11917591,2025-12-31T00:00:00Z
TGT,Target Corporation,NYSE,Consumer Defensive,6.0,"{'within_5pct_52w_high': False, 'dist_to_52w_high_pct': 32.62, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.78, 'rsi14': 59.28, 'above_ma10_ma20_ma50': True, 'ma10': 97.45, 'ma20': 95.99, 'ma50': 92.95, 'realized_vol_5d_ann_pct': 31.11}",97.75,44417515520,689376228.1386185,2025-12-31T00:00:00Z
