Ticker,published_utc,published_local,title,publisher,link,type
APLD,2026-01-09 23:16:07+00:00,2026-01-09 18:16 ET,Does Babcock & Wilcox (BW) Siemens Turbine Deal Reframe Its Role in Powering AI Infrastructure?,,,STORY
APLD,2026-01-09 23:04:24+00:00,2026-01-09 18:04 ET,"Stock Market Today, Jan. 9: Applied Digital Jumps as Investors Reprice AI Infrastructure Growth",,,STORY
APLD,2026-01-09 21:33:20+00:00,2026-01-09 16:33 ET,"Stock Market Today: Dow, S&P 500 Close At New Highs; These Aerospace, Homebuilder Firms Shine (Live Coverage)",,,STORY
APLD,2026-01-09 16:31:27+00:00,2026-01-09 11:31 ET,Why Is Applied Digital (APLD) Stock Soaring Today,,,STORY
APLD,2026-01-09 15:43:25+00:00,2026-01-09 10:43 ET,"Bitcoin mining stocks, AI firms surge in 2026 with APLD and HUT leading",,,STORY
APLD,2026-01-09 15:30:17+00:00,2026-01-09 10:30 ET,BC-Most Active Stocks,,,STORY
APLD,2026-01-09 15:20:00+00:00,2026-01-09 10:20 ET,Should You Buy Applied Digital (APLD) Stock While It's Under $30?,,,STORY
APLD,2026-01-09 11:31:30+00:00,2026-01-09 06:31 ET,"Arete Research Initiates Applied Digital (APLD) with $99 PT, Buy Rating",,,STORY
APLD,2026-01-09 10:20:00+00:00,2026-01-09 05:20 ET,3 Brilliant AI Stocks That Could Double in 2026,,,STORY
APLD,2026-01-09 10:17:08+00:00,2026-01-09 05:17 ET,B&W selects Siemens Energy turbines for 1GW data centre power project,,,STORY
CGON,2026-01-10 14:09:32+00:00,2026-01-10 09:09 ET,CG Oncology (CGON) Is Up 29.7% After Accelerating PIVOT-006 Phase 3 Timeline - Has The Bull Case Changed?,,,STORY
CGON,2026-01-10 03:18:26+00:00,2026-01-09 22:18 ET,Is CG Oncology (CGON) Stock Pricing In Its Recent 79% One Year Surge?,,,STORY
CGON,2026-01-09 19:25:57+00:00,2026-01-09 14:25 ET,Top Midday Gainers,,,STORY
CGON,2025-12-09 22:09:54+00:00,2025-12-09 17:09 ET,How Positive Cretostimogene Trial Updates And Leadership Moves At CG Oncology (CGON) Have Changed Its Investment Story,,,STORY
CGON,2025-12-09 05:20:07+00:00,2025-12-09 00:20 ET,"CG Oncology, Inc. (CGON) is a Buy on Cancer Treatment Development: Truist Securities",,,STORY
CGON,2025-11-15 19:09:28+00:00,2025-11-15 14:09 ET,What CG Oncology (CGON)'s FDA BLA Submission and Phase 3 Progress Mean for Shareholders,,,STORY
CGON,2025-11-14 14:10:03+00:00,2025-11-14 09:10 ET,"CG Oncology, Inc. (CGON) Reports Q3 Loss, Tops Revenue Estimates",,,STORY
