Ticker,published_utc,published_local,title,publisher,link,type
HOUS,2026-01-09 17:50:28+00:00,2026-01-09 12:50 ET,"Update: Market Chatter: Compass, Anywhere Avoid Merger Review After Justice Department Rift",,,STORY
HOUS,2026-01-09 17:11:20+00:00,2026-01-09 12:11 ET,"Market Chatter: Compass, Anywhere Avoid Merger Review After Justice Department Rift",,,STORY
HOUS,2026-01-09 16:31:08+00:00,2026-01-09 11:31 ET,Why Is Compass (COMP) Stock Rocketing Higher Today,,,STORY
HOUS,2026-01-09 15:24:00+00:00,2026-01-09 10:24 ET,Real-Estate Brokerages Avoided Merger Investigation After Justice Department Rift,,,STORY
HOUS,2026-01-09 14:21:00+00:00,2026-01-09 09:21 ET,"Compass, Anywhere Merger Creates Real Estate Giant. How Browsing Home Listings Is About to Change.",,,STORY
HOUS,2026-01-08 19:49:02+00:00,2026-01-08 14:49 ET,Largest Real Estate Names Spike On Merger Talk As Trump Rattles Market,,,STORY
HOUS,2026-01-08 13:06:00+00:00,2026-01-08 08:06 ET,Anywhere Real Estate (HOUS) Stock Jumps 17.9%: Will It Continue to Soar?,,,STORY
HOUS,2026-01-08 13:00:38+00:00,2026-01-08 08:00 ET,"Stocks making big moves yesterday: Compass, Intel, Fluence Energy, MarketAxess, and First Solar",,,STORY
HOUS,2026-01-08 02:12:14+00:00,2026-01-07 21:12 ET,Anywhere Real Estate (HOUS) Soars to 3-Year High on $10-Billion Merger Approval,,,STORY
HOUS,2026-01-08 01:45:40+00:00,2026-01-07 20:45 ET,Compass Inc (COMP) Climbs to 4-Year High as Shareholders OK $10-Billion Anywhere Merger,,,STORY
